,,,,
,CUENTA PAGOS,Cuenta ICE COLOMBIA SAS - BANCOLOMBIA AHORROS: No. CUENTA 81400001211 / NIT 901451028-9,,
,PROCESO DE INSCRIPCIÓN,Nos alegra enormemente que hayas decidido emprender esta aventura con nosotros 💓. A continuación te voy a indicar cómo vamos a proceder para iniciar con tu proceso ⤵️,,
,,,,
,,,,
,POLÍTICA DE TRATAMIENTO DE DATOS PERSONALES,"✔️ Primero que todo, necesitamos que leas y aceptes nuestra Política de tratamiento de datos personales, que te enviaremos a continuación. 

⚠️Política de tratamiento de datos personales:

Mediante el registro de sus datos personales en el presente formulario, usted autoriza a INTERNATIONAL CULTURAL EXPERIENCE S.A.S, para la recolección, almacenamiento y uso de estos, con la finalidad de recibir información y gestionar los trámites relacionados con cada etapa del proceso del programa y/o servicio solicitado. Asimismo, autoriza a  INTERNATIONAL CULTURAL EXPERIENCE S.A.S., para que le informe sobre promociones vigentes y programas nuevos, que considere que puedan ser de su interés, mediante el envío de material publicitario a través de los diferentes canales como son correo electrónico, aplicaciones móviles, mensajes de texto, WhatsApp, redes sociales, llamadas telefónicas y cualquier otro medio.

Como titular de información tiene derecho a conocer, actualizar y rectificar sus datos personales, solicitar prueba de la autorización otorgada para su tratamiento, ser informado sobre el uso que se ha dado a los mismos, presentar quejas ante la SIC por infracción a la ley, revocar la autorización y/o solicitar la supresión de sus datos en los casos en que sea procedente y acceder en forma gratuita a los mismos.

✅Si desea realizar una consulta, reclamo o petición relacionada con la protección de datos, puede solicitarla al correo electrónico: info.col@icebga.com o en la Oficina de INTERNATIONAL CULTURAL EXPERIENCE S.A.S., ubicada en la  Carrera 45 # 56-79 Barrio Terrazas Bucaramanga. Teléfono (+57) 3104994800",,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,REGISTRO Y PAGO DE INSCRIPCIÓN,"¡Gracias por confiar en nosotros! 😄

✔️ Ahora, necesitamos que realices el pago de la inscripción del programa y nos envíes el comprobante de pago, junto con los siguientes datos para hacer tu registro e ingreso a la base de datos del programa:

✅ Nombre completo 
✅ Tipo y número de identificación 
✅ Fecha y lugar de nacimiento 
✅ Número de contacto (Con Whatsapp)
✅ Correo electrónico
✅ Dirección y ciudad de residencia

⚠️ Recuerda revisar que todos tus datos estén correctos y/o notificarnos al momento de algún cambio de los mismos, en cualquier momento del programa.",,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,COBRO OFERTA 300 USD,"Hola traveler, buenos días! te escribimos porque ya puedes entrar a la segunda fase del programa. Pago de Oferta de Empleo 300USD. Recuerda que con este pago vas asegurar tu cupo en el programa y podrás ver ofertas de empleo una vez empiecen a llegar ",,
,,,,
,,,,
,,*Para tener en cuenta:,,
,,El pago de los 300USD se hacen con la TRM del día (Manejamos la TRM de COHORT),,
,,quedamos atentos a cualquier duda,,
,PEDIR DOCUMENTOS +30DIAS,Te escribimos por que aun nos faltan documentos que te solicitamos desde que realizaste la inscripción,,
,,,,
,,"Recuerda que el contrato estaba especificado que tenias 30 dias calendario para enviar documentos. En este caso, vamos a tener que poner tu proceso en pausa. Eso quiere decir que por el momento no vamos a continuar con tu programa. Cuando tengas los documentos listos puedes contactarnos y si aún tenemos cupos, podemos continuar con tu proceso para Work and Travel 2023. Dado el caso que no tengamos cupos, te queda válida la inscripción para el 2024.",,
,,,,
,,,,
,,,,
,,,,
,PAGO ONLINE ,,,
,NOMBRE COMPLETO:,,,
,CORREO ELECTRONICO:,,,
,TOTAL A PAGAR:,,,
,CONCEPTO DE PAGO:,,,
,,,,
,PRECIOS,Inscripción,180000COP,
,,PAGO 1,400USD,SE APARTA CUPO PARA EL PROGRAMA A PARTIR DEL PRIMER PAGO
,,PAGO 2,500USD,
,,PAGO 3,1100USD,
,,,,
,,,,
,,,,
,TIPO DE CLIENTE,PROMOCIONES,FECHA LÍMITE,EXTENSIÓN
,CONVENSIONAL,BONO 200USD,31 julio,15 agosto
,REPITENTE,"INSCRIPCIÓN GRATIS, 100 USD BONO",INDEFINIDO,
,REFERIDO (1-10),25 USD,INDEFINIDO,
,REFERIDO (>10),30 USD,INDEFINIDO,
